material_id,formula,nelements,elements,elements_clean,crystal_system,band_gap,is_gap_direct,n,e_total,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,energy_above_hull,formation_energy_per_atom,density,is_stable,is_magnetic,total_magnetization,weighted_work_function,theoretical,contains_toxic,contains_scarce,band_gap_score_sq,band_gap_score_si,stability_score,dielectric_score,mechanical_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-7614,Si(Ag4S3)2,3,['Ag' 'S' 'Si'],"Ag,S,Si",Orthorhombic,1.1051,True,,,,,,0.0,-0.285906270458332,6.046393682787592,True,False,0.0,,False,False,False,0.8416161216325092,0.998767371422568,1.0,0.5,0.5,1.0,0.1,0.9352191361215124
mp-5942,NaAsS2,3,['As' 'Na' 'S'],"As,Na,S",Monoclinic,1.3457,True,2.340493885201725,9.177608780000002,5.477911626666668,,,0.0,-0.707556392656249,2.853379324611498,True,False,0.0,,False,False,False,0.9998984739041229,0.7535177366141983,1.0,0.47936637020391304,0.5,1.0,0.1,0.9349072344987474
mp-3924,LiNbO2,3,['Li' 'Nb' 'O'],"Li,Nb,O",Hexagonal,1.579499999999999,True,2.948977810473769,16.462366106675475,8.696470126666666,156.667,100.566,0.0,-2.686382930833336,5.667091788849184,True,False,0.0,,False,False,False,0.8358962460041224,0.3094368059236815,1.0,0.9226123733820187,0.9059529541718927,1.0,0.1,0.9343767338140748
mp-7863,Rb2Sn2O3,3,['O' 'Rb' 'Sn'],"O,Rb,Sn",Trigonal,1.219599999999999,True,2.165999881501998,11.90049551695248,4.691555486666668,,,0.0,-1.720435254285714,4.648829762417636,True,False,0.0,,False,False,False,0.9557102477488908,0.9463791475530475,1.0,0.3518696619233125,0.5,1.0,0.1,0.9336648833586767
mp-20782,LiInTe2,3,['In' 'Li' 'Te'],"In,Li,Te",Tetragonal,1.3847,True,2.6846882215010863,10.122309683336137,7.207550846666668,23.297,11.157,0.0,-0.8370955545833321,4.704605033033507,True,False,0.0,,False,False,False,0.993775422202744,0.677560754604684,1.0,0.7527148515195099,0.2057026416542803,1.0,0.1,0.9335554606347432
mp-4524,ZnGeP2,3,['Ge' 'P' 'Zn'],"Ge,P,Zn",Tetragonal,1.1782,False,3.504112143597823,13.730712368164212,12.27880191490973,73.515,49.211,0.0,-0.275104891488094,4.179818738428334,True,False,0.0,,False,False,False,0.921446901817643,0.9813579531380128,1.0,0.9442180014115854,0.6420220242861814,1.0,0.0,0.9334003210654687
mp-560666,K4Nb2Se11O,4,['K' 'Nb' 'O' 'Se'],"K,Nb,O,Se",Orthorhombic,1.361,True,,,,,,0.0,-1.257873135126736,3.705116977150238,True,False,0.0009555,,False,False,False,0.998622824178179,0.7242111958045688,1.0,0.5,0.5,1.0,0.1,0.93328738541523
mp-1192856,Rb2WSe4,3,['Rb' 'Se' 'W'],"Rb,Se,W",Orthorhombic,1.3613,True,,,,,,0.0,-1.10841219705357,4.596168538125686,True,False,0.0,,False,False,False,0.9985832233270235,0.7236292846161465,1.0,0.5,0.5,1.0,0.1,0.9331901985241778
mp-1204773,Ba6Sn7S20,3,['Ba' 'S' 'Sn'],"Ba,S,Sn",Monoclinic,1.3643,True,,,,,,0.0,-1.3475262210606052,4.015307072948397,True,False,0.0592385,,False,False,False,0.9981564202347123,0.7177963473976717,1.0,0.5,0.5,1.0,0.1,0.9322085571683287
mp-571470,Na2SnSe3,3,['Na' 'Se' 'Sn'],"Na,Se,Sn",Orthorhombic,1.3646999999999991,True,,,,,,0.0,-1.014586782256645,3.683850317316952,True,False,0.0006349999999990001,,False,False,False,0.9980952850262579,0.7170167656829468,1.0,0.5,0.5,1.0,0.1,0.9320763361090064
mp-1208643,SrHfS3,3,['Hf' 'S' 'Sr'],"Hf,S,Sr",Orthorhombic,1.4955999999999992,True,2.866153153037476,45.04933183000001,8.214833896666667,,,0.0,-2.074540924687499,5.1832637195499665,True,False,0.0,,False,False,False,0.9271309140800889,0.4566892945254105,1.0,0.8772463121739784,0.5,1.0,0.1,0.9318730695249305
