material_id,formula,nelements,elements,crystal_system,band_gap,is_gap_direct,n,e_total,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,energy_above_hull,formation_energy_per_atom,density,is_stable,is_magnetic,total_magnetization,weighted_work_function,theoretical,band_gap_score_sq,band_gap_score_si,dielectric_score,mechanical_score,stability_score,magnetic_score,direct_gap_bonus,semiconductor_score
mp-4763,ZnSiP2,3,['P' 'Si' 'Zn'],Tetragonal,1.3641,True,3.244916413407285,12.41888436999372,10.529482530000003,84.953,54.178,0.0,-0.39165684148809604,3.418565574455873,True,False,0.0,,False,0.9981866149231168,0.7181859772588667,0.9999770288392673,0.7543960325132054,1.0,1.0,0.1,1.0327107078968198
mp-554921,Hg(BiS2)2,3,['Bi' 'Hg' 'S'],Monoclinic,1.1861,True,3.166739988306383,447.85653419126294,10.028242153538711,,,0.0,-0.582541794642855,6.768877831478459,True,False,0.0,,False,0.9286565740283568,0.9760188405736777,0.9938569642551237,0.5,1.0,1.0,0.1,1.0276455142314094
mp-776470,Hf3N4,2,['Hf' 'N'],Orthorhombic,1.2648000000000001,True,3.118178114433704,49.390316786666666,9.723034753333332,,,0.0,-1.9739463853571442,11.710480923591549,True,False,0.0,,True,0.9824832340150973,0.8900447331475027,0.9846724504970849,0.5,1.0,1.0,0.1,1.0268283860504626
mp-1016197,MgSiAs2,3,['As' 'Mg' 'Si'],Tetragonal,1.303199999999999,True,3.189110265680173,12.39872379000001,10.170424286666664,57.986,28.695,0.0,-0.297332561249999,3.590920896404339,True,False,0.0,,False,0.9957769422929577,0.8298943388472038,0.9967098158948182,0.4866159711604422,1.0,1.0,0.1,1.021596455900587
mp-1078908,Ca2CdP2,3,['Ca' 'Cd' 'P'],Orthorhombic,1.2927,True,3.055397555692767,18.318321033333334,9.335454223333334,,,0.0,-0.8925133748571411,3.544535939395362,True,False,0.0,,False,0.993032852644596,0.8473037283164417,0.96689795047401,0.5,1.0,1.0,0.1,1.0203884649797168
mp-1009085,BeSiP2,3,['Be' 'P' 'Si'],Tetragonal,1.1502,True,3.078094525297536,10.630906893333336,9.474665906666669,,,0.0,-0.37259544357142804,2.470076621534859,True,False,0.0,,True,0.8935302181293778,0.9949459261393733,0.9740740095172147,0.5,1.0,1.0,0.1,1.0187355448808326
mp-1205337,Ca3(AlP2)2,3,['Al' 'Ca' 'P'],Monoclinic,1.248199999999999,True,2.945895330795037,18.85129137,8.678299299999999,,,0.0,-1.176275938544974,2.467476688095708,True,False,0.0,,False,0.9740086202689179,0.9127375588984002,0.9210839157114367,0.5,1.0,1.0,0.1,1.018575376258705
mp-541582,ReSe2,2,['Re' 'Se'],Triclinic,1.1434,True,3.4174776278224073,12.10478996666667,11.679153336666667,,,0.0,-0.46316581770832904,8.62376120443585,True,False,0.0,,False,0.8862234803721393,0.9969626221939075,0.9753760135602375,0.5,1.0,1.0,0.1,1.0174066654561567
mp-12955,HoAgSe2,3,['Ag' 'Ho' 'Se'],Orthorhombic,1.271199999999999,True,2.950631936269472,19.334861773333333,8.706228823333333,,,0.0,-1.4328078040885401,7.279367599243141,True,False,0.0,,False,0.9853168641979186,0.8807266267559613,0.9234271914040325,0.5,1.0,1.0,0.1,1.0169522887734788
mp-1105549,BaHfS3,3,['Ba' 'Hf' 'S'],Orthorhombic,1.252399999999999,True,2.925186827651639,58.18681615,8.556717976666667,,,0.0,-2.139777798999998,5.547751676715811,True,False,0.0,,False,0.9763047475148666,0.9072043459094575,0.9104821587130539,0.5,1.0,1.0,0.1,1.0167291625720933
mp-1189305,Sr3(AlAs2)2,3,['Al' 'As' 'Sr'],Monoclinic,1.1456,True,3.053276003464693,18.091156726666668,9.322494353333333,,,0.0,-1.154644779999999,4.2093865976078995,True,False,0.0,,False,0.88860896466884,0.9963657311103974,0.9661846692387737,0.5,1.0,1.0,0.1,1.0165348012195856
mp-1188559,YAgSe2,3,['Ag' 'Se' 'Y'],Orthorhombic,1.279799999999999,True,2.9559120825897383,18.834348369999997,8.73741624,,,0.0,-1.42491480703125,5.910619697520829,True,False,0.0,,False,0.9887387628215009,0.8677367542022344,0.9260028576085115,0.5,1.0,1.0,0.1,1.016245632476987
mp-4044,ErAgSe2,3,['Ag' 'Er' 'Se'],Orthorhombic,1.2801,True,2.947586116921211,18.908711676666666,8.688263916666665,,,0.0,-1.432454579713541,7.379786196461983,True,False,0.0,,False,0.9888500948941079,0.8672742292018637,0.9219239120573463,0.5,1.0,1.0,0.1,1.0155922449124084
