run_timestamp,mode,seconds
2026-05-19T17:33:22.138679+00:00,bronze,0.0531
2026-05-19T17:33:22.138679+00:00,silver,0.0954
2026-05-19T17:33:22.138679+00:00,gold,0.1108
2026-05-19T17:33:22.138679+00:00,dims,0.0017
