material_id,formula,chemsys,band_gap,cbm,vbm,efermi,is_gap_direct,n,e_total,e_ionic,e_electronic,bulk_modulus_vrh,shear_modulus_vrh,universal_anisotropy,homogeneous_poisson,energy_above_hull,formation_energy_per_atom,equilibrium_reaction_energy_per_atom,density,density_atomic,volume,nsites,nelements,elements,crystal_system,theoretical,is_magnetic,total_magnetization,ordering,weighted_work_function,is_stable
mp-6488,KTiAsO5,As-K-O-Ti,3.083599999999999,3.2011,0.11750000000000001,0.4097965,True,,,,,,,,,0.0,-2.5627845675729173,-0.035429141250002,3.297345011110812,15.22655591764482,974.4995787292685,64,4,"['As', 'K', 'O', 'Ti']",Orthorhombic,False,False,0.0,NM,,True
mp-1180688,KTiCu3Se4,Cu-K-Se-Ti,1.7001,3.6788,1.9787000000000001,3.67871524,False,,,,,,,,,0.016400882222224,-0.8573680999953701,,4.384567951948265,24.972327040902858,224.75094336812572,9,4,"['Cu', 'K', 'Se', 'Ti']",Cubic,True,False,9.17e-05,NM,,False
mp-24811,KTiH2S2O9,H-K-O-S-Ti,0.21859999999999902,3.2915,3.0729,3.13102139,False,,,,,,,,,0.058273555921050005,-2.09056649253889,,2.604075128837393,12.630351281324893,378.9105384397468,30,5,"['H', 'K', 'O', 'S', 'Ti']",Monoclinic,False,True,2.0019642,FM,,False
mp-1223343,KTiNbO5,K-Nb-O-Ti,2.7073,3.1396,0.4323,3.13932767,False,,,,,,,,,0.0011033189062490002,-3.107562951322917,,3.6832671715361682,14.644678054463553,468.6296977428337,32,4,"['K', 'Nb', 'O', 'Ti']",Orthorhombic,True,False,9.130000000000001e-05,NM,,False
mp-1223210,KTiO2F,F-K-O-Ti,0.8895000000000001,3.3256,2.4361,2.54699865,False,,,,,,,,,0.147664058785714,-3.142258649116666,,3.644822814102245,12.570823766968493,62.85411883484247,5,4,"['F', 'K', 'O', 'Ti']",Tetragonal,True,False,0.00022789999999900002,NM,,False
mp-17234,KTiP2O7,K-O-P-Ti,0.14420000000000002,4.2422,4.098,4.14941999,True,,,,,,,,,0.038412551847393006,-2.878113699079004,,2.775786878159802,14.189226727144096,624.3259759943402,44,4,"['K', 'O', 'P', 'Ti']",Monoclinic,False,True,4.0019503,FM,,False
mp-772844,KTiPCO7,C-K-O-P-Ti,2.6473,1.6953,-0.9520000000000001,-0.89102342,False,,,,,,,,,0.031905859204547,-2.667902996838745,,2.25642801286637,16.186486517653634,356.10270338837995,22,5,"['C', 'K', 'O', 'P', 'Ti']",Monoclinic,True,False,0.0005344999999990001,NM,,False
mp-1198407,KTiPO5,K-O-P-Ti,2.7252,3.7067,0.9815,1.03315176,False,,,,,,,,,0.013864236093750001,-3.035101684090773,,3.059168445158646,13.430143253476293,859.5291682224828,64,4,"['K', 'O', 'P', 'Ti']",Orthorhombic,False,False,6e-07,NM,,False
mp-6268,KTiPO5,K-O-P-Ti,3.059799999999999,3.6470000000000002,0.5872,0.936783399999999,False,,,,,,,,,0.0,-3.048965920184524,-0.045781238391546006,3.039892530647488,13.515303597342617,864.9794302299275,64,4,"['K', 'O', 'P', 'Ti']",Orthorhombic,False,False,6.5e-06,NM,,True
mp-560977,KTiPS5,K-P-S-Ti,1.2217,2.6,1.3783,1.48978553,False,2.237077432723329,11.478593210000001,6.47407777,5.004515440000001,,,,,0.0,-1.239830269090773,-0.035623573437494005,2.202740490524101,26.22122009887011,419.53952158192175,16,4,"['K', 'P', 'S', 'Ti']",Monoclinic,False,False,0.0016225999999990002,NM,,True
mp-571544,KTiPSe5,K-P-Se-Ti,0.889899999999999,2.0361,1.146199999999999,1.18927846,False,2.575478517997513,13.316454669999999,6.683365073333334,6.633089596666665,,,,,0.0,-1.052739958993117,-0.018016084479166,3.690872419297693,28.83543328980909,461.3669326369454,16,4,"['K', 'P', 'Se', 'Ti']",Monoclinic,False,False,0.0,NM,,True
mp-1211776,KTiSi3O11,K-O-Si-Ti,0.5903,0.3678,-0.2225,0.36776196,True,,,,,,,,,0.273477133812501,-2.448725673317708,,2.440685073177559,14.764410063940973,944.9222440922223,64,4,"['K', 'O', 'Si', 'Ti']",Monoclinic,True,True,19.9865929,FM,,False
mp-1211257,KTl(SO4)2,K-O-S-Tl,2.0234,2.4019,0.3785,0.35930242,False,,,,,,,,,0.0,-1.831071993798611,-0.034134171250002,3.877759038634534,15.544676316696425,186.5361158003571,12,4,"['K', 'O', 'S', 'Tl']",Trigonal,True,False,0.0008464999999990001,NM,,True
mp-1205672,KTl2CrF6,Cr-F-K-Tl,3.5979,3.6537,0.0558,0.21137568,True,,,,,,,,,0.0,-2.677724281391668,-0.015096770687505002,5.657721196428806,18.01651631955385,180.1651631955385,10,4,"['Cr', 'F', 'K', 'Tl']",Cubic,True,True,2.9999782,FM,,True
mp-560959,KTl2MoF6,F-K-Mo-Tl,2.4401,3.3774,0.9373,1.05091873,True,,,,,,,,,0.0,-2.535024284391668,-0.037387523500001005,5.490521426644849,19.894191106466494,198.94191106466494,10,4,"['F', 'K', 'Mo', 'Tl']",Cubic,False,True,3.0000082,FM,,True
mp-1111155,KTlBr3,Br-K-Tl,0.9246000000000001,0.7333000000000001,-0.1913,-0.20282404,False,,,,,,,,,0.07723567325000101,-1.342039624116668,,3.960905520400015,40.5140615144015,405.140615144015,10,3,"['Br', 'K', 'Tl']",Cubic,True,False,0.0002096,NM,,False
mp-28048,KTlBr4,Br-K-Tl,1.8089,0.3437,-1.4652,-1.39001839,True,,,,,,,,,0.0,-1.3090541380138911,-0.10885624833333502,4.222586890088284,36.90650571349761,885.7561371239426,24,3,"['Br', 'K', 'Tl']",Orthorhombic,False,False,0.0,NM,,True
mp-1111296,KTlCl3,Cl-K-Tl,1.097,1.1358,0.0388,0.04459178,False,,,,,,,,,0.059074320500001005,-1.582047443116668,,3.292339148991479,35.289437515010235,352.89437515010235,10,3,"['Cl', 'K', 'Tl']",Cubic,True,False,0.00040409999999900005,NM,,False
mp-27385,KTlCl4,Cl-K-Tl,2.3241,0.9883000000000001,-1.3358,-1.24755175,True,1.690700454446815,8.789268153333333,5.930800126666668,2.8584680266666673,,,,,0.0,-1.544014930097224,-0.045118581666667004,3.465482604677857,30.769888251991745,369.23865902390094,12,3,"['Cl', 'K', 'Tl']",Tetragonal,False,False,0.0,NM,,True
mp-1111295,KTlF3,F-K-Tl,1.9647000000000001,1.787,-0.1777,-0.17132262,False,,,,,,,,,0.05428418670833501,-2.438736394116667,,4.534969175152891,22.004713226360938,220.04713226360937,10,3,"['F', 'K', 'Tl']",Cubic,True,False,0.00022349999999900002,NM,,False
mp-27209,KTlF4,F-K-Tl,2.3226,0.6121,-1.7105000000000001,-1.7044472700000002,False,,,,,,,,,0.0,-2.494076720374996,-0.059568270138882,5.541789765100618,15.954565045802083,574.364341648875,36,3,"['F', 'K', 'Tl']",Trigonal,False,False,0.0,NM,,True
mp-27716,KTlO,K-O-Tl,1.1638,3.3997,2.2359,2.3170354,False,2.2294861964138732,10.75116923670168,5.780560536701681,4.9706087,,,,,0.0,-1.191447635194449,-0.099842717277781,6.128464681188116,23.435904420621316,140.6154265237279,6,3,"['K', 'O', 'Tl']",Monoclinic,False,False,0.0,NM,,True
mp-8175,KTlO2,K-O-Tl,0.8820000000000001,3.378,2.496,2.57300539,False,,,,,71.739,27.414,0.5700000000000001,0.331,0.0,-1.384316650145836,-0.13750817037500102,7.257630321661667,15.757414817522017,63.02965927008807,4,3,"['K', 'O', 'Tl']",Trigonal,False,False,0.0,NM,,True
mp-1211499,KTlS2,K-S-Tl,1.164799999999999,2.3301,1.1653,1.16534452,True,,,,,,,,,0.001582044027778,-0.8647856995208341,,4.106464320983649,31.097377160273048,995.1160691287375,32,3,"['K', 'S', 'Tl']",Monoclinic,True,False,0.0030045,NM,,False
